,Unnamed: 0,number,value,params_hidden_layer_neuron_count,params_num_hermite_directional_coeffs,system_attrs_grid_id,system_attrs_search_space,state
22,22,22,97.32,40,6,22,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
23,23,23,85.1,10,3,23,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
24,24,24,97.14,25,8,24,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
25,25,25,94.54,25,4,25,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
26,26,26,,95,6,26,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
27,27,27,,40,8,27,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
28,28,28,,65,5,28,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
29,29,29,,80,4,29,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
30,30,30,,85,10,30,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
31,31,31,88.92,20,3,31,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
32,32,32,,35,9,32,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
33,33,33,90.26,55,3,33,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
34,34,34,95.6,15,6,34,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
35,35,35,96.96,50,5,35,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
36,36,36,,85,6,36,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
37,37,37,87.18,15,3,37,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
38,38,38,,40,7,38,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
39,39,39,90.64,80,3,39,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
40,40,40,89.86,30,3,40,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
41,41,41,96.28,15,9,41,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
42,42,42,,40,10,42,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
