,Unnamed: 0,number,value,params_hidden_layer_neuron_count,params_num_hermite_directional_coeffs,system_attrs_grid_id,system_attrs_search_space,state
98,98,98,,80,6,98,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
99,99,99,94.66,10,9,99,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
100,100,100,,80,8,100,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
101,101,101,,60,6,101,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
102,102,102,,90,4,102,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
103,103,103,,30,9,103,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
104,104,104,92.82,10,6,104,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
105,105,105,,65,9,105,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
106,106,106,96.6,25,6,106,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
107,107,107,94.86,40,4,107,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
108,108,108,94.76,30,4,108,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
109,109,109,,100,7,109,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
110,110,110,95.78,45,4,110,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
111,111,111,79.78,5,4,111,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
112,112,112,,85,5,112,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
113,113,113,,95,7,113,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
114,114,114,96.46,30,5,114,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
115,115,115,96.02,70,4,115,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
116,116,116,87.88,5,7,116,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
117,117,117,,90,5,117,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
118,118,118,92.62,15,4,118,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
119,119,119,,75,7,119,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
120,120,120,90.14,70,3,120,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
121,121,121,,25,9,121,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
122,122,122,88.8,5,8,122,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
123,123,123,,35,8,123,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
124,124,124,,100,4,124,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
125,125,125,,80,9,125,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
126,126,126,74.46,5,3,126,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
127,127,127,96.16,25,5,127,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
128,128,128,96.2,20,7,128,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
129,129,129,,75,5,129,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
130,130,130,,20,10,130,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
131,131,131,,85,9,131,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
132,132,132,,80,10,132,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
133,133,133,,95,8,133,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
134,134,134,88.4,25,3,134,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
135,135,135,96.66,20,8,135,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
136,136,136,,65,6,136,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
137,137,137,97.14,55,5,137,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
138,138,138,,50,10,138,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
139,139,139,,75,6,139,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
140,140,140,,100,6,140,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
141,141,141,90.26,50,3,141,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
142,142,142,,50,8,142,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
143,143,143,93.82,20,4,143,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
144,144,144,95.96,55,4,144,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
145,145,145,,95,9,145,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
146,146,146,,100,3,146,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
147,147,147,,25,10,147,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
148,148,148,96.72,40,5,148,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
149,149,149,,90,7,149,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
150,150,150,90.7,60,3,150,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
151,151,151,,45,9,151,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
152,152,152,,55,10,152,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
153,153,153,96.7,25,7,153,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
154,154,154,95.96,15,8,154,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
155,155,155,90.7,10,4,155,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
156,156,156,,65,10,156,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
157,157,157,,45,6,157,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
158,158,158,,75,8,158,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
159,159,159,,30,10,159,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
